date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:28	1067/1067	---M--	200	added ('OK')	application/x-javascript	etag:%22574813ad-42b%22	http://demos2.crazycafe.net/inviting/vershions/js/jquery.counterup.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/jquery.counterup.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:28	5057/5057	---M--	200	added ('OK')	application/x-javascript	etag:%22574813ac-13c1%22	http://demos2.crazycafe.net/inviting/vershions/js/count.down.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/count.down.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:28	7199/7199	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254499a48-1c1f%22	http://code.jquery.com/jquery-migrate-1.2.1.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/code.jquery.com/jquery-migrate-1.2.1.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:28	8044/8044	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2013%20Jan%202014%2018:17:51%20GMT	http://cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/cdnjs.cloudflare.com/ajax/libs/waypoints/2.0.3/waypoints.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:29	5719/5719	---M--	200	added ('OK')	application/x-javascript	etag:%22574813b3-1657%22	http://demos2.crazycafe.net/inviting/vershions/js/venobox.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/venobox.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:30	40401/40401	---M--	200	added ('OK')	application/x-javascript	etag:%22574813b1-9dd1%22	http://demos2.crazycafe.net/inviting/vershions/js/owl.carousel.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/owl.carousel.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:30	36868/36868	---M--	200	added ('OK')	application/x-javascript	etag:%22574813aa-9004%22	http://demos2.crazycafe.net/inviting/vershions/js/bootstrap.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/bootstrap.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:32	22945/22945	---M--	200	added ('OK')	application/x-javascript	etag:%22574813b1-59a1%22	http://demos2.crazycafe.net/inviting/vershions/js/masonry.pkgd.min.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/masonry.pkgd.min.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:32	5011/5011	---M--	200	added ('OK')	application/x-javascript	etag:%22574813aa-1393%22	http://demos2.crazycafe.net/inviting/vershions/js/active.js	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/js/active.js	(from http://demos2.crazycafe.net/inviting/vershions/)
17:48:34	27466/27466	---M--	200	added ('OK')	text/css	etag:%225748133d-6b4a%22	http://demos2.crazycafe.net/inviting/vershions/css/font-awesome.min.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/font-awesome.min.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:35	149825/149825	---M--	200	added ('OK')	text/css	etag:%225748133f-24941%22	http://demos2.crazycafe.net/inviting/vershions/css/bootstrap.min.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/bootstrap.min.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:35	1601/1601	---M--	200	added ('OK')	text/css	etag:%2257481338-641%22	http://demos2.crazycafe.net/inviting/vershions/css/accordion.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/accordion.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:36	7067/7067	---M--	200	added ('OK')	text/css	etag:%225748133a-1b9b%22	http://demos2.crazycafe.net/inviting/vershions/css/et-line.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/et-line.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:37	4614/4614	---M--	200	added ('OK')	text/css	etag:%225748133f-1206%22	http://demos2.crazycafe.net/inviting/vershions/css/owl.carousel.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/owl.carousel.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:37	1729/1729	---M--	200	added ('OK')	text/css	etag:%2257481343-6c1%22	http://demos2.crazycafe.net/inviting/vershions/css/slick.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/slick.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:37	7709/7709	---M--	200	added ('OK')	text/css	etag:%2257481343-1e1d%22	http://demos2.crazycafe.net/inviting/vershions/css/venobox.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/css/venobox.css	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:39	9835/9835	---M--	200	added ('OK')	image/jpeg	etag:%2257481380-266b%22	http://demos2.crazycafe.net/inviting/vershions/img/cta-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/cta-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:40	1451/1451	---M--	200	added ('OK')	image/jpeg	etag:%22574813d7-5ab%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/price-border.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/price-border.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:45	35271/35271	---M--	200	added ('OK')	image/jpeg	etag:%22574813a0-89c7%22	http://demos2.crazycafe.net/inviting/vershions/img/testimonial-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/testimonial-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:46	2416/2416	---M--	200	added ('OK')	image/jpeg	etag:%22574813d3-970%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/faq-after-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/faq-after-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:47	1527/1527	---M--	200	added ('OK')	image/png	etag:%22574813d2-5f7%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/faq-after-bg-2.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/faq-after-bg-2.png	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:47	177/177	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2009%20Jul%202016%2012:18:47%20GMT	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/loading2.gif	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/loading2.gif	(from http://demos2.crazycafe.net/inviting/vershions/css/responsive.css)
17:48:48	1615/1615	---M--	200	added ('OK')	image/png	etag:%22574813ce-64f%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-attend.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-attend.png	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:48:49	1419/1419	---M--	200	added ('OK')	image/png	etag:%22574813ce-58b%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-days.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-days.png	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:48:49	57092/57092	---M--	200	added ('OK')	image/jpeg	etag:%2257481384-df04%22	http://demos2.crazycafe.net/inviting/vershions/img/reg-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/reg-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:50	80144/80144	---M--	200	added ('OK')	image/jpeg	etag:%225748139f-13910%22	http://demos2.crazycafe.net/inviting/vershions/img/subscribe-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/subscribe-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:50	1552/1552	---M--	200	added ('OK')	image/png	etag:%22574813d0-610%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-ticket.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-ticket.png	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:48:50	1581/1581	---M--	200	added ('OK')	image/png	etag:%22574813cf-62d%22	http://demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-hall.png	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/img-icons/fact-icon-hall.png	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:48:55	155670/155670	---M--	200	added ('OK')	image/jpeg	etag:%2257481389-26016%22	http://demos2.crazycafe.net/inviting/vershions/img/header-bg.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/header-bg.jpg	(from http://demos2.crazycafe.net/inviting/vershions/style.css)
17:48:57	10098/10098	---M--	200	added ('OK')	image/jpeg	etag:%225748137a-2772%22	http://demos2.crazycafe.net/inviting/vershions/img/about_slide-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/about_slide-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:48:58	38980/38980	---M--	200	added ('OK')	image/jpeg	etag:%22574813c7-9844%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:48:58	47608/47608	---M--	200	added ('OK')	image/jpeg	etag:%22574813c5-b9f8%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:49:01	17922/17922	---M--	200	added ('OK')	image/jpeg	etag:%225748137c-4602%22	http://demos2.crazycafe.net/inviting/vershions/img/about_slide-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/about_slide-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:01	26003/26003	---M--	200	added ('OK')	image/jpeg	etag:%225748137d-6593%22	http://demos2.crazycafe.net/inviting/vershions/img/about_slide-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/about_slide-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:01	77004/77004	---M--	200	added ('OK')	image/jpeg	etag:%22574813c5-12ccc%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/small-img-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/about.html)
17:49:02	32166/32166	---M--	200	added ('OK')	image/jpeg	etag:%22574813bc-7da6%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:03	21841/21841	---M--	200	added ('OK')	image/jpeg	etag:%22574813bc-5551%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:05	25900/25900	---M--	200	added ('OK')	image/jpeg	etag:%22574813be-652c%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:05	20673/20673	---M--	200	added ('OK')	image/jpeg	etag:%22574813be-50c1%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-4.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-4.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:06	72259/72259	---M-Z	200	added ('OK')	text/plain	etag:%227148b57658700ce6a493c016ab7c44d25a5e4cb8%22	https://raw.githubusercontent.com/daneden/animate.css/master/animate.css	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/raw.githubusercontent.com/daneden/animate.css/master/animate.css	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
17:49:10	44626/44626	---M--	200	added ('OK')	image/jpeg	etag:%22574813c1-ae52%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-5.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-5.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:10	24752/24752	---M--	200	added ('OK')	image/jpeg	etag:%225748138e-60b0%22	http://demos2.crazycafe.net/inviting/vershions/img/slide-speaker-1.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/slide-speaker-1.jpg	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
17:49:10	44263/44263	---M--	200	added ('OK')	image/jpeg	etag:%22574813c2-ace7%22	http://demos2.crazycafe.net/inviting/vershions/img/gellary/img-6.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/gellary/img-6.jpg	(from http://demos2.crazycafe.net/inviting/vershions/schedule.html)
17:49:10	19369/19369	---M--	200	added ('OK')	image/jpeg	etag:%225748138e-4ba9%22	http://demos2.crazycafe.net/inviting/vershions/img/slide-speaker-2.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/slide-speaker-2.jpg	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
17:49:11	18511/18511	---M--	200	added ('OK')	image/jpeg	etag:%2257481390-484f%22	http://demos2.crazycafe.net/inviting/vershions/img/slide-speaker-3.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/slide-speaker-3.jpg	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
17:49:12	14707/14707	---M--	200	added ('OK')	image/jpeg	etag:%2257481390-3973%22	http://demos2.crazycafe.net/inviting/vershions/img/slide-speaker-4.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/slide-speaker-4.jpg	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
17:49:13	13839/13839	---M--	200	added ('OK')	image/jpeg	etag:%2257481393-360f%22	http://demos2.crazycafe.net/inviting/vershions/img/slide-speaker-6.jpg	G:/Redrock/College/Website%20team%20Amitech'16/Templetes/ColV6/demos2.crazycafe.net/inviting/vershions/img/slide-speaker-6.jpg	(from http://demos2.crazycafe.net/inviting/vershions/speakers.html)
